warn: LLAMA_ARG_REPACK environment variable is set, but will be overwritten by command line argument --no-repack
0.00.037.095 W DEPRECATED: argument '--tensor-filter' specified multiple times, use comma-separated values instead (only last value will be used)
0.00.037.100 W DEPRECATED: argument '--tensor-filter' specified multiple times, use comma-separated values instead (only last value will be used)
0.00.037.100 W DEPRECATED: argument '--tensor-filter' specified multiple times, use comma-separated values instead (only last value will be used)
0.00.037.101 W DEPRECATED: argument '--tensor-filter' specified multiple times, use comma-separated values instead (only last value will be used)
0.00.037.101 W DEPRECATED: argument '--tensor-filter' specified multiple times, use comma-separated values instead (only last value will be used)
0.00.037.101 W DEPRECATED: argument '--tensor-filter' specified multiple times, use comma-separated values instead (only last value will be used)
0.00.037.102 W DEPRECATED: argument '--tensor-filter' specified multiple times, use comma-separated values instead (only last value will be used)
0.00.037.102 W DEPRECATED: argument '--tensor-filter' specified multiple times, use comma-separated values instead (only last value will be used)
0.00.037.104 W DEPRECATED: argument '--tensor-filter' specified multiple times, use comma-separated values instead (only last value will be used)
0.00.037.105 W DEPRECATED: argument '--tensor-filter' specified multiple times, use comma-separated values instead (only last value will be used)
0.00.037.105 W DEPRECATED: argument '--tensor-filter' specified multiple times, use comma-separated values instead (only last value will be used)
0.00.037.105 W DEPRECATED: argument '--tensor-filter' specified multiple times, use comma-separated values instead (only last value will be used)
0.00.037.106 W DEPRECATED: argument '--tensor-filter' specified multiple times, use comma-separated values instead (only last value will be used)
0.00.037.106 W DEPRECATED: argument '--tensor-filter' specified multiple times, use comma-separated values instead (only last value will be used)
0.00.037.106 W DEPRECATED: argument '--tensor-filter' specified multiple times, use comma-separated values instead (only last value will be used)
[E2-FOLD] arch=qwen35moe experts_folded R=-1 lead=0 unique_ffn=10/48 gamma=1.000 map=[E2-FOLD] shared expert follows the LOGICAL layer
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,26,26,26,26,30,30,32,32,32,32,32,32,38,38,38,41,41,41,44,45,46,47
[E2-FOLD] mixer (attn / delta-net) is NOT folded — logical index kept
            [      0.0127,       0.0058,       0.0036,    ...,       0.0041,       0.0069,       0.0067  ],
        ],
    ]
    sum = 512.004211
common_debug_cb_eval:         ffn_moe_probs-34 = (f32)   SOFT_MAX(ffn_moe_logits-34{256, 512, 1, 1}, }) = {256, 512, 1, 1}
    [
        [
            [      0.0029,       0.0082,       0.0036,    ...,       0.0026,       0.0009,       0.0054  ],
            [      0.0008,       0.0067,       0.0049,    ...,       0.0017,       0.0027,       0.0058  ],
            [      0.0005,       0.0027,       0.0051,    ...,       0.0033,       0.0004,       0.0029  ],
            ..., 
            [      0.0013,       0.0081,       0.0084,    ...,       0.0018,       0.0008,       0.0032  ],
            [      0.0009,       0.0055,       0.0088,    ...,       0.0018,       0.0017,       0.0037  ],
            [      0.0004,       0.0029,       0.0098,    ...,       0.0008,       0.0005,       0.0051  ],
        ],
    ]
    sum = 511.999207
common_debug_cb_eval:         ffn_moe_probs-35 = (f32)   SOFT_MAX(ffn_moe_logits-35{256, 512, 1, 1}, }) = {256, 512, 1, 1}
    [
        [
            [      0.0080,       0.0023,       0.0005,    ...,       0.0059,       0.0027,       0.0016  ],
            [      0.0059,       0.0021,       0.0009,    ...,       0.0028,       0.0028,       0.0031  ],
            [      0.0028,       0.0024,       0.0013,    ...,       0.0036,       0.0010,       0.0015  ],
            ..., 
            [      0.0037,       0.0021,       0.0010,    ...,       0.0057,       0.0079,       0.0134  ],
            [      0.0058,       0.0034,       0.0013,    ...,       0.0052,       0.0046,       0.0069  ],
            [      0.0017,       0.0045,       0.0012,    ...,       0.0091,       0.0025,       0.0060  ],
        ],
    ]
    sum = 511.995483
common_debug_cb_eval:         ffn_moe_probs-36 = (f32)   SOFT_MAX(ffn_moe_logits-36{256, 512, 1, 1}, }) = {256, 512, 1, 1}
    [
        [
            [      0.0095,       0.0023,       0.0026,    ...,       0.0014,       0.0015,       0.0034  ],
            [      0.0039,       0.0021,       0.0015,    ...,       0.0011,       0.0412,       0.0021  ],
            [      0.0039,       0.0023,       0.0014,    ...,       0.0020,       0.0593,       0.0023  ],
            ..., 
            [      0.0054,       0.0011,       0.0036,    ...,       0.0026,       0.0026,       0.0033  ],
            [      0.0064,       0.0017,       0.0022,    ...,       0.0027,       0.0085,       0.0032  ],
            [      0.0045,       0.0020,       0.0029,    ...,       0.0016,       0.0080,       0.0031  ],
        ],
    ]
    sum = 511.999512
common_debug_cb_eval:         ffn_moe_probs-37 = (f32)   SOFT_MAX(ffn_moe_logits-37{256, 512, 1, 1}, }) = {256, 512, 1, 1}
    [
        [
            [      0.0010,       0.0015,       0.0023,    ...,       0.0171,       0.0017,       0.0009  ],
            [      0.0021,       0.0016,       0.0013,    ...,       0.0116,       0.0013,       0.0014  ],
            [      0.0014,       0.0011,       0.0014,    ...,       0.0161,       0.0015,       0.0010  ],
            ..., 
            [      0.0012,       0.0032,       0.0030,    ...,       0.0029,       0.0033,       0.0035  ],
            [      0.0014,       0.0017,       0.0020,    ...,       0.0170,       0.0038,       0.0054  ],
            [      0.0005,       0.0011,       0.0019,    ...,       0.0027,       0.0036,       0.0003  ],
        ],
    ]
    sum = 511.997894
common_debug_cb_eval:         ffn_moe_probs-39 = (f32)   SOFT_MAX(ffn_moe_logits-39{256, 512, 1, 1}, }) = {256, 512, 1, 1}
    [
        [
            [      0.0059,       0.0066,       0.0011,    ...,       0.0013,       0.0198,       0.0027  ],
            [      0.0033,       0.0038,       0.0013,    ...,       0.0088,       0.0146,       0.0075  ],
            [      0.0023,       0.0031,       0.0018,    ...,       0.0187,       0.0101,       0.0093  ],
            ..., 
            [      0.0030,       0.0050,       0.0014,    ...,       0.0028,       0.0036,       0.0033  ],
            [      0.0019,       0.0035,       0.0022,    ...,       0.0046,       0.0186,       0.0045  ],
            [      0.0024,       0.0052,       0.0013,    ...,       0.0036,       0.0043,       0.0026  ],
        ],
    ]
    sum = 511.999847
common_debug_cb_eval:         ffn_moe_probs-40 = (f32)   SOFT_MAX(ffn_moe_logits-40{256, 512, 1, 1}, }) = {256, 512, 1, 1}
    [
        [
            [      0.0038,       0.0067,       0.0066,    ...,       0.0052,       0.0046,       0.0045  ],
            [      0.0024,       0.0027,       0.0046,    ...,       0.0056,       0.0038,       0.0077  ],
            [      0.0039,       0.0019,       0.0037,    ...,       0.0074,       0.0019,       0.0109  ],
            ..., 
            [      0.0058,       0.0062,       0.0071,    ...,       0.0050,       0.0036,       0.0028  ],
            [      0.0045,       0.0041,       0.0060,    ...,       0.0054,       0.0033,       0.0032  ],
            [      0.0039,       0.0055,       0.0049,    ...,       0.0050,       0.0036,       0.0035  ],
        ],
    ]
    sum = 511.999878
common_debug_cb_eval:         ffn_moe_probs-42 = (f32)   SOFT_MAX(ffn_moe_logits-42{256, 512, 1, 1}, }) = {256, 512, 1, 1}
    [
        [
            [      0.0004,       0.0048,       0.0022,    ...,       0.0041,       0.0050,       0.0046  ],
            [      0.0002,       0.0083,       0.0010,    ...,       0.0027,       0.0023,       0.0019  ],
            [      0.0004,       0.0110,       0.0009,    ...,       0.0023,       0.0039,       0.0022  ],
            ..., 
            [      0.0001,       0.0053,       0.0045,    ...,       0.0057,       0.0039,       0.0010  ],
            [      0.0003,       0.0047,       0.0034,    ...,       0.0061,       0.0025,       0.0013  ],
            [      0.0001,       0.0077,       0.0031,    ...,       0.0054,       0.0034,       0.0007  ],
        ],
    ]
    sum = 512.000427
common_debug_cb_eval:         ffn_moe_probs-43 = (f32)   SOFT_MAX(ffn_moe_logits-43{256, 512, 1, 1}, }) = {256, 512, 1, 1}
    [
        [
            [      0.0021,       0.0094,       0.0040,    ...,       0.0074,       0.0040,       0.0035  ],
            [      0.0019,       0.0031,       0.0022,    ...,       0.0108,       0.0044,       0.0077  ],
            [      0.0021,       0.0032,       0.0022,    ...,       0.0109,       0.0039,       0.0079  ],
            ..., 
            [      0.0022,       0.0042,       0.0212,    ...,       0.0023,       0.0036,       0.0011  ],
            [      0.0021,       0.0030,       0.0162,    ...,       0.0029,       0.0036,       0.0015  ],
            [      0.0018,       0.0030,       0.0173,    ...,       0.0032,       0.0034,       0.0020  ],
        ],
    ]
    sum = 512.002319
common_debug_cb_eval:         ffn_moe_probs-23 = (f32)   SOFT_MAX(ffn_moe_logits-23{256, 512, 1, 1}, }) = {256, 512, 1, 1}
    [
        [
            [      0.0002,       0.0003,       0.0005,    ...,       0.0030,       0.0019,       0.0005  ],
            [      0.0004,       0.0023,       0.0022,    ...,       0.0063,       0.0018,       0.0015  ],
            [      0.0007,       0.0015,       0.0023,    ...,       0.0029,       0.0015,       0.0009  ],
            ..., 
            [      0.0006,       0.0022,       0.0018,    ...,       0.0088,       0.0016,       0.0025  ],
            [      0.0008,       0.0005,       0.0011,    ...,       0.0102,       0.0013,       0.0020  ],
            [      0.0037,       0.0027,       0.0028,    ...,       0.0040,       0.0024,       0.0026  ],
        ],
    ]
    sum = 511.997772
common_debug_cb_eval:         ffn_moe_probs-24 = (f32)   SOFT_MAX(ffn_moe_logits-24{256, 512, 1, 1}, }) = {256, 512, 1, 1}
    [
        [
            [      0.0010,       0.0005,       0.0009,    ...,       0.0022,       0.0035,       0.0031  ],
            [      0.0022,       0.0005,       0.0029,    ...,       0.0024,       0.0046,       0.0036  ],
            [      0.0036,       0.0017,       0.0025,    ...,       0.0021,       0.0026,       0.0039  ],
            ..., 
            [      0.0021,       0.0011,       0.0031,    ...,       0.0027,       0.0179,       0.0026  ],
            [      0.0003,       0.0008,       0.0011,    ...,       0.0041,       0.0159,       0.0022  ],
            [      0.0025,       0.0042,       0.0010,    ...,       0.0027,       0.0132,       0.0036  ],
        ],
    ]
    sum = 511.999023
common_debug_cb_eval:         ffn_moe_probs-25 = (f32)   SOFT_MAX(ffn_moe_logits-25{256, 512, 1, 1}, }) = {256, 512, 1, 1}
    [
        [
            [      0.0007,       0.0001,       0.0003,    ...,       0.0012,       0.0009,       0.0033  ],
            [      0.0008,       0.0018,       0.0006,    ...,       0.0026,       0.0018,       0.0038  ],
            [      0.0032,       0.0005,       0.0007,    ...,       0.0039,       0.0005,       0.0034  ],
            ..., 
            [      0.0025,       0.0007,       0.0009,    ...,       0.0020,       0.0018,       0.0060  ],
            [      0.0006,       0.0003,       0.0003,    ...,       0.0012,       0.0007,       0.0046  ],
            [      0.0013,       0.0007,       0.0018,    ...,       0.0018,       0.0009,       0.0033  ],
        ],
    ]
    sum = 511.998993
common_debug_cb_eval:         ffn_moe_probs-27 = (f32)   SOFT_MAX(ffn_moe_logits-27{256, 512, 1, 1}, }) = {256, 512, 1, 1}
    [
        [
            [      0.0009,       0.0003,       0.0014,    ...,       0.0043,       0.0014,       0.0032  ],
            [      0.0043,       0.0007,       0.0045,    ...,       0.0043,       0.0019,       0.0030  ],
            [      0.0015,       0.0007,       0.0046,    ...,       0.0024,       0.0021,       0.0037  ],
            ..., 
            [      0.0060,       0.0023,       0.0054,    ...,       0.0078,       0.0010,       0.0029  ],
            [      0.0028,       0.0005,       0.0019,    ...,       0.0114,       0.0017,       0.0092  ],
            [      0.0082,       0.0016,       0.0139,    ...,       0.0053,       0.0025,       0.0048  ],
        ],
    ]
    sum = 512.000793
common_debug_cb_eval:         ffn_moe_probs-28 = (f32)   SOFT_MAX(ffn_moe_logits-28{256, 512, 1, 1}, }) = {256, 512, 1, 1}
    [
        [
            [      0.0001,       0.0008,       0.0007,    ...,       0.0019,       0.0030,       0.0043  ],
            [      0.0006,       0.0008,       0.0010,    ...,       0.0041,       0.0033,       0.0037  ],
            [      0.0016,       0.0015,       0.0037,    ...,       0.0024,       0.0038,       0.0025  ],
            ..., 
            [      0.0007,       0.0048,       0.0016,    ...,       0.0017,       0.0017,       0.0025  ],
            [      0.0002,       0.0017,       0.0006,    ...,       0.0014,       0.0018,       0.0036  ],
            [      0.0007,       0.0033,       0.0012,    ...,       0.0022,       0.0039,       0.0025  ],
        ],
    ]
    sum = 512.001404
common_debug_cb_eval:         ffn_moe_probs-29 = (f32)   SOFT_MAX(ffn_moe_logits-29{256, 512, 1, 1}, }) = {256, 512, 1, 1}
    [
        [
            [      0.0108,       0.0001,       0.0024,    ...,       0.0023,       0.0034,       0.0051  ],
            [      0.0025,       0.0009,       0.0018,    ...,       0.0017,       0.0032,       0.0082  ],
            [      0.0020,       0.0004,       0.0017,    ...,       0.0040,       0.0029,       0.0087  ],
            ..., 
            [      0.0031,       0.0011,       0.0065,    ...,       0.0009,       0.0036,       0.0417  ],
            [      0.0054,       0.0002,       0.0028,    ...,       0.0021,       0.0034,       0.0167  ],
            [      0.0017,       0.0009,       0.0144,    ...,       0.0019,       0.0029,       0.0214  ],
        ],
    ]
    sum = 512.000366
common_debug_cb_eval:         ffn_moe_probs-31 = (f32)   SOFT_MAX(ffn_moe_logits-31{256, 512, 1, 1}, }) = {256, 512, 1, 1}
    [
        [
            [      0.0009,       0.0006,       0.0005,    ...,       0.0008,       0.0036,       0.0058  ],
            [      0.0008,       0.0018,       0.0009,    ...,       0.0048,       0.0019,       0.0057  ],
            [      0.0006,       0.0008,       0.0040,    ...,       0.0014,       0.0027,       0.0047  ],
            ..., 
            [      0.0007,       0.0006,       0.0004,    ...,       0.0022,       0.0012,       0.0065  ],
            [      0.0011,       0.0011,       0.0002,    ...,       0.0015,       0.0013,       0.0088  ],
            [      0.0011,       0.0019,       0.0009,    ...,       0.0067,       0.0008,       0.0045  ],
        ],
    ]
    sum = 512.000061
common_debug_cb_eval:         ffn_moe_probs-33 = (f32)   SOFT_MAX(ffn_moe_logits-33{256, 512, 1, 1}, }) = {256, 512, 1, 1}
    [
        [
            [      0.0125,       0.0017,       0.0016,    ...,       0.0071,       0.0056,       0.0040  ],
            [      0.0152,       0.0022,       0.0044,    ...,       0.0043,       0.0064,       0.0038  ],
            [      0.0075,       0.0035,       0.0026,    ...,       0.0038,       0.0023,       0.0034  ],
            ..., 
            [      0.0034,       0.0046,       0.0036,    ...,       0.0050,       0.0018,       0.0025  ],
            [      0.0038,       0.0036,       0.0023,    ...,       0.0043,       0.0040,       0.0027  ],
            [      0.0035,       0.0034,       0.0030,    ...,       0.0045,       0.0008,       0.0023  ],
        ],
    ]
    sum = 511.998169
common_debug_cb_eval:         ffn_moe_probs-34 = (f32)   SOFT_MAX(ffn_moe_logits-34{256, 512, 1, 1}, }) = {256, 512, 1, 1}
    [
        [
            [      0.0005,       0.0016,       0.0067,    ...,       0.0008,       0.0001,       0.0037  ],
            [      0.0010,       0.0048,       0.0073,    ...,       0.0005,       0.0009,       0.0059  ],
            [      0.0011,       0.0065,       0.0060,    ...,       0.0005,       0.0010,       0.0031  ],
            ..., 
            [      0.0015,       0.0024,       0.0024,    ...,       0.0038,       0.0009,       0.0057  ],
            [      0.0005,       0.0021,       0.0034,    ...,       0.0051,       0.0006,       0.0030  ],
            [      0.0011,       0.0029,       0.0037,    ...,       0.0089,       0.0022,       0.0041  ],
        ],
    ]
    sum = 512.002747
common_debug_cb_eval:         ffn_moe_probs-35 = (f32)   SOFT_MAX(ffn_moe_logits-35{256, 512, 1, 1}, }) = {256, 512, 1, 1}
    [
        [
            [      0.0018,       0.0039,       0.0012,    ...,       0.0066,       0.0066,       0.0014  ],
            [      0.0059,       0.0040,       0.0014,    ...,       0.0048,       0.0067,       0.0039  ],
            [      0.0045,       0.0040,       0.0009,    ...,       0.0043,       0.0173,       0.0031  ],
            ..., 
            [      0.0054,       0.0041,       0.0012,    ...,       0.0019,       0.0042,       0.0020  ],
            [      0.0063,       0.0045,       0.0007,    ...,       0.0029,       0.0016,       0.0022  ],
            [      0.0078,       0.0044,       0.0029,    ...,       0.0015,       0.0027,       0.0017  ],
        ],
    ]
    sum = 512.002075
common_debug_cb_eval:         ffn_moe_probs-36 = (f32)   SOFT_MAX(ffn_moe_logits-36{256, 512, 1, 1}, }) = {256, 512, 1, 1}
    [
        [
            [      0.0063,       0.0020,       0.0043,    ...,       0.0022,       0.0061,       0.0036  ],
            [      0.0036,       0.0027,       0.0024,    ...,       0.0019,       0.0040,       0.0030  ],
            [      0.0035,       0.0029,       0.0025,    ...,       0.0045,       0.0084,       0.0035  ],
            ..., 
            [      0.0256,       0.0005,       0.0020,    ...,       0.0021,       0.0010,       0.0055  ],
            [      0.0113,       0.0017,       0.0017,    ...,       0.0014,       0.0130,       0.0070  ],
            [      0.0146,       0.0010,       0.0013,    ...,       0.0027,       0.0023,       0.0080  ],
        ],
    ]
    sum = 511.998474
common_debug_cb_eval:         ffn_moe_probs-37 = (f32)   SOFT_MAX(ffn_moe_logits-37{256, 512, 1, 1}, }) = {256, 512, 1, 1}
    [
        [
            [      0.0003,       0.0009,       0.0422,    ...,       0.0026,       0.0033,       0.0097  ],
            [      0.0007,       0.0023,       0.0065,    ...,       0.0035,       0.0037,       0.0044  ],
            [      0.0020,       0.0027,       0.0019,    ...,       0.0038,       0.0037,       0.0013  ],
            ..., 
            [      0.0005,       0.0025,       0.0008,    ...,       0.0039,       0.0045,       0.0024  ],
            [      0.0015,       0.0008,       0.0043,    ...,       0.0080,       0.0031,       0.0006  ],
            [      0.0012,       0.0023,       0.0030,    ...,       0.0063,       0.0047,       0.0031  ],
        ],
    ]
    sum = 511.999542
common_debug_cb_eval:         ffn_moe_probs-39 = (f32)   SOFT_MAX(ffn_moe_logits-39{256, 512, 1, 1}, }) = {256, 512, 1, 1}
    [
        [
            [      0.0022,       0.0057,       0.0018,    ...,       0.0031,       0.0052,       0.0029  ],
            [      0.0022,       0.0037,       0.0039,    ...,       0.0018,       0.0033,       0.0027  ],
            [      0.0027,       0.0040,       0.0013,    ...,       0.0022,       0.0019,       0.0026  ],
            ..., 
            [      0.0055,       0.0082,       0.0032,    ...,       0.0015,       0.0067,       0.0057  ],
            [      0.0025,       0.0050,       0.0029,    ...,       0.0060,       0.0053,       0.0388  ],
            [      0.0029,       0.0044,       0.0023,    ...,       0.0022,       0.0038,       0.0106  ],
        ],
    ]
    sum = 512.002014
common_debug_cb_eval:         ffn_moe_probs-40 = (f32)   SOFT_MAX(ffn_moe_logits-40{256, 512, 1, 1}, }) = {256, 512, 1, 1}
    [
        [
            [      0.0042,       0.0039,       0.0037,    ...,       0.0065,       0.0028,       0.0032  ],
            [      0.0059,       0.0033,       0.0061,    ...,       0.0080,       0.0032,       0.0029  ],
            [      0.0050,       0.0043,       0.0049,    ...,       0.0049,       0.0043,       0.0034  ],
            ..., 
            [      0.0066,       0.0020,       0.0049,    ...,       0.0074,       0.0208,       0.0055  ],
            [      0.0031,       0.0032,       0.0047,    ...,       0.0068,       0.0320,       0.0077  ],
            [      0.0036,       0.0043,       0.0067,    ...,       0.0052,       0.0064,       0.0053  ],
        ],
    ]
    sum = 512.001282
common_debug_cb_eval:         ffn_moe_probs-42 = (f32)   SOFT_MAX(ffn_moe_logits-42{256, 512, 1, 1}, }) = {256, 512, 1, 1}
    [
        [
            [      0.0001,       0.0032,       0.0033,    ...,       0.0044,       0.0042,       0.0008  ],
            [      0.0011,       0.0021,       0.0035,    ...,       0.0069,       0.0039,       0.0010  ],
            [      0.0004,       0.0033,       0.0056,    ...,       0.0145,       0.0039,       0.0007  ],
            ..., 
            [      0.0010,       0.0045,       0.0036,    ...,       0.0126,       0.0049,       0.0024  ],
            [      0.0003,       0.0037,       0.0022,    ...,       0.0088,       0.0046,       0.0003  ],
            [      0.0014,       0.0047,       0.0066,    ...,       0.0046,       0.0056,       0.0010  ],
        ],
    ]
    sum = 512.000549
common_debug_cb_eval:         ffn_moe_probs-43 = (f32)   SOFT_MAX(ffn_moe_logits-43{256, 512, 1, 1}, }) = {256, 512, 1, 1}
    [
        [
            [      0.0015,       0.0029,       0.0215,    ...,       0.0027,       0.0030,       0.0035  ],
            [      0.0022,       0.0040,       0.0075,    ...,       0.0034,       0.0034,       0.0025  ],
            [      0.0035,       0.0040,       0.0037,    ...,       0.0032,       0.0041,       0.0103  ],
            ..., 
            [      0.0025,       0.0063,       0.0059,    ...,       0.0118,       0.0032,       0.0007  ],
            [      0.0020,       0.0048,       0.0047,    ...,       0.0143,       0.0033,       0.0044  ],
            [      0.0024,       0.0090,       0.0028,    ...,       0.0059,       0.0030,       0.0006  ],
        ],
    ]
    sum = 511.999481
common_debug_cb_eval:         ffn_moe_probs-23 = (f32)   SOFT_MAX(ffn_moe_logits-23{256, 512, 1, 1}, }) = {256, 512, 1, 1}
    [
        [
            [      0.0029,       0.0023,       0.0014,    ...,       0.0030,       0.0033,       0.0027  ],
            [      0.0016,       0.0029,       0.0011,    ...,       0.0042,       0.0045,       0.0027  ],
            [      0.0020,       0.0065,       0.0012,    ...,       0.0059,       0.0056,       0.0029  ],
            ..., 
            [      0.0004,       0.0006,       0.0010,    ...,       0.0072,       0.0045,       0.0039  ],
            [      0.0001,       0.0005,       0.0005,    ...,       0.0077,       0.0026,       0.0035  ],
            [      0.0001,       0.0002,       0.0004,    ...,       0.0187,       0.0033,       0.0030  ],
        ],
    ]
    sum = 512.000732
common_debug_cb_eval:         ffn_moe_probs-24 = (f32)   SOFT_MAX(ffn_moe_logits-24{256, 512, 1, 1}, }) = {256, 512, 1, 1}
    [
        [
            [      0.0034,       0.0008,       0.0169,    ...,       0.0055,       0.0045,       0.0038  ],
            [      0.0127,       0.0007,       0.0020,    ...,       0.0050,       0.0035,       0.0044  ],
            [      0.0072,       0.0006,       0.0022,    ...,       0.0061,       0.0036,       0.0030  ],
            ..., 
            [      0.0036,       0.0008,       0.0058,    ...,       0.0055,       0.0050,       0.0042  ],
            [      0.0026,       0.0006,       0.0073,    ...,       0.0045,       0.0097,       0.0029  ],
            [      0.0035,       0.0005,       0.0009,    ...,       0.0036,       0.0060,       0.0030  ],
        ],
    ]
    sum = 512.005310
common_debug_cb_eval:         ffn_moe_probs-25 = (f32)   SOFT_MAX(ffn_moe_logits-25{256, 512, 1, 1}, }) = {256, 512, 1, 1}
    [
        [
            [      0.0009,       0.0003,       0.0006,    ...,       0.0042,       0.0036,       0.0038  ],
            [      0.0007,       0.0003,       0.0008,    ...,       0.0047,       0.0049,       0.0041  ],
            [      0.0006,       0.0003,       0.0006,    ...,       0.0033,       0.0032,       0.0028  ],
            ..., 
            [      0.0021,       0.0001,       0.0012,    ...,       0.0058,       0.0043,       0.0034  ],
            [      0.0007,       0.0001,       0.0002,    ...,       0.0021,       0.0014,       0.0032  ],
            [      0.0006,       0.0001,       0.0004,    ...,       0.0013,       0.0008,       0.0031  ],
        ],
    ]
    sum = 511.999969
common_debug_cb_eval:         ffn_moe_probs-27 = (f32)   SOFT_MAX(ffn_moe_logits-27{256, 512, 1, 1}, }) = {256, 512, 1, 1}
    [
        [
            [      0.0043,       0.0012,       0.0227,    ...,       0.0028,       0.0027,       0.0041  ],
            [      0.0050,       0.0015,       0.0252,    ...,       0.0023,       0.0027,       0.0035  ],
            [      0.0061,       0.0013,       0.0223,    ...,       0.0026,       0.0021,       0.0037  ],
            ..., 
            [      0.0082,       0.0025,       0.0085,    ...,       0.0104,       0.0020,       0.0056  ],
            [      0.0064,       0.0006,       0.0042,    ...,       0.0044,       0.0024,       0.0039  ],
            [      0.0084,       0.0004,       0.0017,    ...,       0.0069,       0.0020,       0.0038  ],
        ],
    ]
    sum = 512.001343
common_debug_cb_eval:         ffn_moe_probs-28 = (f32)   SOFT_MAX(ffn_moe_logits-28{256, 512, 1, 1}, }) = {256, 512, 1, 1}
    [
        [
            [      0.0028,       0.0015,       0.0033,    ...,       0.0027,       0.0062,       0.0031  ],
            [      0.0033,       0.0017,       0.0031,    ...,       0.0034,       0.0055,       0.0025  ],
            [      0.0043,       0.0019,       0.0092,    ...,       0.0021,       0.0057,       0.0022  ],
            ..., 
            [      0.0036,       0.0023,       0.0223,    ...,       0.0024,       0.0025,       0.0036  ],
            [      0.0010,       0.0014,       0.0072,    ...,       0.0028,       0.0033,       0.0034  ],
            [      0.0001,       0.0006,       0.0007,    ...,       0.0021,       0.0014,       0.0033  ],
        ],
    ]
    sum = 512.002441
common_debug_cb_eval:         ffn_moe_probs-29 = (f32)   SOFT_MAX(ffn_moe_logits-29{256, 512, 1, 1}, }) = {256, 512, 1, 1}
    [
        [
            [      0.0014,       0.0004,       0.0056,    ...,       0.0033,       0.0026,       0.0109  ],
            [      0.0014,       0.0005,       0.0042,    ...,       0.0033,       0.0027,       0.0123  ],
            [      0.0015,       0.0004,       0.0041,    ...,       0.0028,       0.0030,       0.0123  ],
            ..., 
            [      0.0015,       0.0004,       0.0012,    ...,       0.0023,       0.0027,       0.0109  ],
            [      0.0016,       0.0002,       0.0007,    ...,       0.0027,       0.0037,       0.0087  ],
            [      0.0021,       0.0001,       0.0008,    ...,       0.0018,       0.0037,       0.0094  ],
        ],
    ]
    sum = 512.005249
common_debug_cb_eval:         ffn_moe_probs-31 = (f32)   SOFT_MAX(ffn_moe_logits-31{256, 512, 1, 1}, }) = {256, 512, 1, 1}
    [
        [
            [      0.0168,       0.0021,       0.0017,    ...,       0.0018,       0.0009,       0.0035  ],
            [      0.0021,       0.0016,       0.0022,    ...,       0.0020,       0.0009,       0.0057  ],
            [      0.0019,       0.0015,       0.0038,    ...,       0.0032,       0.0007,       0.0056  ],
            ..., 
            [      0.0073,       0.0017,       0.0007,    ...,       0.0027,       0.0015,       0.0059  ],
            [      0.0010,       0.0006,       0.0040,    ...,       0.0016,       0.0017,       0.0045  ],
            [      0.0005,       0.0008,       0.0021,    ...,       0.0014,       0.0028,       0.0061  ],
        ],
    ]
    sum = 511.998627
common_debug_cb_eval:         ffn_moe_probs-33 = (f32)   SOFT_MAX(ffn_moe_logits-33{256, 512, 1, 1}, }) = {256, 512, 1, 1}
    [
        [
            [      0.0069,       0.0058,       0.0045,    ...,       0.0051,       0.0008,       0.0014  ],
            [      0.0172,       0.0053,       0.0039,    ...,       0.0049,       0.0007,       0.0022  ],
            [      0.0114,       0.0080,       0.0043,    ...,       0.0054,       0.0006,       0.0017  ],
            ..., 
            [      0.0023,       0.0093,       0.0028,    ...,       0.0075,       0.0040,       0.0039  ],
            [      0.0029,       0.0058,       0.0025,    ...,       0.0101,       0.0059,       0.0020  ],
            [      0.0039,       0.0038,       0.0037,    ...,       0.0066,       0.0034,       0.0023  ],
        ],
    ]
    sum = 511.997223
common_debug_cb_eval:         ffn_moe_probs-34 = (f32)   SOFT_MAX(ffn_moe_logits-34{256, 512, 1, 1}, }) = {256, 512, 1, 1}
    [
        [
            [      0.0006,       0.0018,       0.0033,    ...,       0.0135,       0.0026,       0.0051  ],
            [      0.0019,       0.0019,       0.0046,    ...,       0.0069,       0.0031,       0.0059  ],
            [      0.0009,       0.0021,       0.0044,    ...,       0.0081,       0.0019,       0.0058  ],
            ..., 
            [      0.0011,       0.0053,       0.0053,    ...,       0.0045,       0.0008,       0.0058  ],
            [      0.0008,       0.0032,       0.0068,    ...,       0.0033,       0.0004,       0.0066  ],
            [      0.0011,       0.0027,       0.0154,    ...,       0.0020,       0.0002,       0.0053  ],
        ],
    ]
    sum = 512.001221
common_debug_cb_eval:         ffn_moe_probs-35 = (f32)   SOFT_MAX(ffn_moe_logits-35{256, 512, 1, 1}, }) = {256, 512, 1, 1}
    [
        [
            [      0.0061,       0.0046,       0.0011,    ...,       0.0014,       0.0034,       0.0306  ],
            [      0.0083,       0.0039,       0.0009,    ...,       0.0013,       0.0028,       0.0023  ],
            [      0.0037,       0.0069,       0.0006,    ...,       0.0018,       0.0041,       0.0020  ],
            ..., 
            [      0.0048,       0.0013,       0.0011,    ...,       0.0051,       0.0024,       0.0052  ],
            [      0.0017,       0.0033,       0.0012,    ...,       0.0053,       0.0044,       0.0080  ],
            [      0.0018,       0.0015,       0.0006,    ...,       0.0256,       0.0046,       0.0014  ],
        ],
    ]
    sum = 511.995514
